date,daily_confirmed,cumulative_confirmed
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,1,1
2020-01-31,0,1
2020-02-01,0,1
2020-02-02,1,2
2020-02-03,1,3
2020-02-04,0,3
2020-02-05,0,3
2020-02-06,0,3
2020-02-07,0,3
2020-02-08,0,3
2020-02-09,0,3
2020-02-10,0,3
2020-02-11,0,3
2020-02-12,0,3
2020-02-13,0,3
2020-02-14,0,3
2020-02-15,0,3
2020-02-16,0,3
2020-02-17,0,3
2020-02-18,0,3
2020-02-19,0,3
2020-02-20,0,3
2020-02-21,0,3
2020-02-22,0,3
2020-02-23,0,3
2020-02-24,0,3
2020-02-25,0,3
2020-02-26,0,3
2020-02-27,0,3
2020-02-28,0,3
2020-02-29,0,3
2020-03-01,0,3
2020-03-02,2,5
2020-03-03,0,5
2020-03-04,23,28
2020-03-05,2,30
2020-03-06,1,31
2020-03-07,3,34
2020-03-08,5,39
2020-03-09,4,43
2020-03-10,13,56
2020-03-11,6,62
2020-03-12,11,73
2020-03-13,9,82
2020-03-14,20,102
2020-03-15,11,113
2020-03-16,6,119
2020-03-17,23,142
2020-03-18,14,156
2020-03-19,38,194
2020-03-20,50,244
2020-03-21,86,330
2020-03-22,66,396
2020-03-23,103,499
2020-03-24,37,536
2020-03-25,121,657
2020-03-26,70,727
2020-03-27,160,887
2020-03-28,100,987
2020-03-29,37,1024
2020-03-30,227,1251
2020-03-31,146,1397
2020-04-01,601,1998
2020-04-02,545,2543
2020-04-03,24,2567
2020-04-04,515,3082
2020-04-05,506,3588
2020-04-06,1190,4778
2020-04-07,533,5311
2020-04-08,605,5916
2020-04-09,809,6725
2020-04-10,873,7598
2020-04-11,848,8446
2020-04-12,759,9205
2020-04-13,1248,10453
2020-04-14,1034,11487
2020-04-15,835,12322
2020-04-16,1108,13430
2020-04-17,922,14352
2020-04-18,1370,15722
2020-04-19,1893,17615
2020-04-20,924,18539
2020-04-21,1541,20080
2020-04-22,1290,21370
2020-04-23,1707,23077
2020-04-24,1453,24530
2020-04-25,1753,26283
2020-04-26,1607,27890
2020-04-27,1561,29451
2020-04-28,1873,31324
2020-04-29,1738,33062
2020-04-30,1801,34863
2020-05-01,2394,37257
2020-05-02,2442,39699
2020-05-03,2806,42505
2020-05-04,3932,46437
2020-05-05,2963,49400
2020-05-06,3587,52987
2020-05-07,3364,56351
2020-05-08,3344,59695
2020-05-09,3113,62808
2020-05-10,4353,67161
2020-05-11,3607,70768
2020-05-12,3524,74292
2020-05-13,3763,78055
2020-05-14,3942,81997
2020-05-15,3787,85784
2020-05-16,4864,90648
2020-05-17,5050,95698
2020-05-18,4630,100328
2020-05-19,6147,106475
2020-05-20,5553,112028
